RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
1.1564066165155589,-0.3181818181818182,2.0,0.6296695304978539,1.063768944809837,0.8333333333333334,0.0,2.5,0.0,2.0,1
1.517389346765892,-0.5454545454545454,0.0,-0.35291217406996495,-0.8006863025450386,-0.6666666666666666,0.0,-0.5,0.0,1.0,0
0.9524179686746733,-0.6363636363636364,1.0,-0.40594721421692154,-0.674292250500429,-1.0,1.0,-0.5,0.0,0.0,0
0.15047662183817373,-1.0,0.0,-0.47672781546920157,-0.6005147269087789,-0.5,0.0,-0.5,0.0,0.0,0
1.4230703406355532,-0.13636363636363635,1.0,-0.49277557787841414,16.639405204460967,-0.16666666666666666,0.0,0.0,0.0,0.0,0
0.11148962200830245,1.0,0.0,0.013126646433065225,-0.5433228481555619,-0.8333333333333334,0.0,0.0,0.0,1.0,0
0.2862959106173046,0.22727272727272727,0.0,8236.870622543014,0.0,0.0,0.0,1.0,0.0,0.0,0
1.1343668808368403,-0.5909090909090909,0.0,-0.22586894793021717,-0.5433228481555619,0.0,0.0,-0.5,0.0,0.0,0
-0.07035446736159959,-1.1363636363636365,0.0,65.83210139227039,0.0,-1.0,0.0,-0.5,0.0,0.0,0
0.06611813367495119,0.22727272727272727,0.0,0.3459174823409959,5.228481555619102,0.16666666666666666,0.0,1.5,0.0,2.0,0
0.9260484734209561,-1.0,0.0,-0.0822753626103558,-0.8292822419216471,-0.5,0.0,-0.5,0.0,0.0,0
-0.2558352972434003,-0.045454545454545456,0.0,0.23806360980662028,0.3148412925364598,-0.16666666666666666,0.0,0.5,0.0,2.0,0
-0.2717963729936271,-0.2727272727272727,0.0,-0.09832045327462817,2.017157563625965,0.8333333333333334,0.0,0.5,0.0,2.0,0
1.5316029470118302,-0.5454545454545454,3.0,0.02374117458773954,2.373462968258507,0.16666666666666666,3.0,0.0,1.0,2.0,1
-0.2542130459531415,1.0909090909090908,0.0,687.6042769953726,-1.54418072633686,-0.3333333333333333,0.0,0.0,0.0,0.0,0
0.7450739162303809,0.5454545454545454,0.0,-0.22593857343024298,1.7048899056334001,-0.16666666666666666,0.0,0.0,0.0,2.0,0
-0.1759228034691197,1.1818181818181819,0.0,2968.3973387784463,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0
0.02287193265150524,0.045454545454545456,0.0,-0.257124839392893,0.9722619388046897,-0.16666666666666666,0.0,-0.5,0.0,0.0,0
0.12780563638805822,-0.4090909090909091,0.0,0.23281111938581045,-0.6062339147841006,-0.16666666666666666,0.0,0.0,0.0,2.0,0
0.8477544250399878,-1.2272727272727273,0.0,-0.43371072966463703,-1.4489562482127538,-1.0,0.0,-0.5,0.0,0.0,0
0.08833053121965975,-0.4090909090909091,0.0,0.09166234226042035,1.973119816985988,0.3333333333333333,0.0,0.5,0.0,0.0,0
-0.2428764316790084,-0.6363636363636364,0.0,0.15772750844791106,-0.6863025450386046,-0.16666666666666666,0.0,0.0,0.0,2.0,1
1.5983617526042435,-0.5909090909090909,0.0,-0.18091158526469828,-0.8292822419216471,-0.6666666666666666,0.0,-0.5,0.0,0.0,0
-0.14882333188984836,-0.9090909090909091,0.0,-0.40537187442935546,0.7194738347154704,-0.3333333333333333,0.0,-0.5,0.0,0.0,0
-0.2033725952011886,0.2727272727272727,0.0,-0.18016389196120725,-0.8533028309979983,0.16666666666666666,0.0,0.0,0.0,0.0,0
0.44988148150615986,-0.09090909090909091,0.0,1.7726212983419267,-0.2070346010866457,1.0,0.0,1.0,0.0,1.0,1
-0.19226893054393127,0.2727272727272727,0.0,-0.3878295361694548,0.8387189019159279,2.3333333333333335,0.0,0.0,0.0,0.0,0
